Hike,Distance,Distance_From_Melbourne,Place,Wheelchair?,Dogs?,Date
Mount Macedon,18.8,65,Mount Macedon,N,N,3/9/19
The Tan Track,3.8,3.4,South Yarra,Y,Y,3/9/19
Lerderderg gorge circuirt walk,13.5,91.4,Lerderderg,N,N,4/9/19
Yarra River Promenade,1.76,3.6,Melbourne,Y,Y,4/9/19
